OBJECTID,Borough,Type,Provider,Latitude,Longitude,Location_T,City,BoroCode,NTACode
998,MN,Free,LinkNYC - Citybridge,40.745968,-73.994039,Outdoor Kiosk,New York,1,MN17
999,MN,Free,LinkNYC - Citybridge,40.744614,-73.985069,Outdoor Kiosk,New York,1,MN17
1000,MN,Free,LinkNYC - Citybridge,40.757666,-73.985878,Outdoor Kiosk,New York,1,MN17
1001,MN,Free,LinkNYC - Citybridge,40.759971,-73.984342,Outdoor Kiosk,New York,1,MN17
1002,MN,Free,LinkNYC - Citybridge,40.760413,-73.984541,Outdoor Kiosk,New York,1,MN17
1003,MN,Free,LinkNYC - Citybridge,40.762593,-73.983077,Outdoor Kiosk,New York,1,MN17
1004,MN,Free,LinkNYC - Citybridge,40.760883,-73.984277,Outdoor Kiosk,New York,1,MN17
1005,MN,Free,LinkNYC - Citybridge,40.760632,-73.984283,Outdoor Kiosk,New York,1,MN17
1006,MN,Free,LinkNYC - Citybridge,40.752335,-73.979738,Outdoor Kiosk,New York,1,MN20
1007,MN,Free,LinkNYC - Citybridge,40.750833,-73.976817,Outdoor Kiosk,New York,1,MN20
1008,MN,Free,LinkNYC - Citybridge,40.749832,-73.98156,Outdoor Kiosk,New York,1,MN20
1009,MN,Free,LinkNYC - Citybridge,40.749728,-73.99511,Outdoor Kiosk,New York,1,MN17
1010,MN,Free,LinkNYC - Citybridge,40.758649,-73.975143,Outdoor Kiosk,New York,1,MN17
1011,MN,Free,LinkNYC - Citybridge,40.760718,-73.984634,Outdoor Kiosk,New York,1,MN17
1012,MN,Free,LinkNYC - Citybridge,40.762467,-73.972358,Outdoor Kiosk,New York,1,MN17
1013,MN,Free,LinkNYC - Citybridge,40.760266,-73.984857,Outdoor Kiosk,New York,1,MN17
1014,MN,Free,LinkNYC - Citybridge,40.760235,-73.984012,Outdoor Kiosk,New York,1,MN17
1015,MN,Free,LinkNYC - Citybridge,40.761511,-73.972745,Outdoor Kiosk,New York,1,MN17
1016,MN,Free,LinkNYC - Citybridge,40.760527,-73.983537,Outdoor Kiosk,New York,1,MN17
1017,MN,Free,LinkNYC - Citybridge,40.736112,-73.993427,Outdoor Kiosk,New York,1,MN13
1018,MN,Free,LinkNYC - Citybridge,40.734148,-73.98874,Outdoor Kiosk,New York,1,MN21
1019,MN,Free,LinkNYC - Citybridge,40.761142,-73.98309,Outdoor Kiosk,New York,1,MN17
1020,MN,Free,LinkNYC - Citybridge,40.752545,-73.979585,Outdoor Kiosk,New York,1,MN20
1021,MN,Free,LinkNYC - Citybridge,40.749122,-73.995553,Outdoor Kiosk,New York,1,MN17
1022,MN,Free,LinkNYC - Citybridge,40.74672,-73.985936,Outdoor Kiosk,New York,1,MN17
1023,MN,Free,LinkNYC - Citybridge,40.74988,-73.994993,Outdoor Kiosk,New York,1,MN17
1024,MN,Free,LinkNYC - Citybridge,40.76221,-73.981881,Outdoor Kiosk,New York,1,MN17
1025,MN,Free,LinkNYC - Citybridge,40.756742,-73.97653,Outdoor Kiosk,New York,1,MN17
1026,MN,Free,LinkNYC - Citybridge,40.747905,-73.996434,Outdoor Kiosk,New York,1,MN17
1027,MN,Free,LinkNYC - Citybridge,40.75154,-73.990365,Outdoor Kiosk,New York,1,MN17
1028,MN,Free,LinkNYC - Citybridge,40.757793,-73.971703,Outdoor Kiosk,New York,1,MN19
1029,MN,Free,LinkNYC - Citybridge,40.763424,-73.985061,Outdoor Kiosk,New York,1,MN17
1030,MN,Free,LinkNYC - Citybridge,40.764212,-73.984545,Outdoor Kiosk,New York,1,MN17
1031,MN,Free,LinkNYC - Citybridge,40.762151,-73.986052,Outdoor Kiosk,New York,1,MN17
1032,MN,Free,LinkNYC - Citybridge,40.745127,-73.988671,Outdoor Kiosk,New York,1,MN13
1033,MN,Free,LinkNYC - Citybridge,40.760895,-73.986836,Outdoor Kiosk,New York,1,MN17
1034,MN,Free,LinkNYC - Citybridge,40.745126,-73.984639,Outdoor Kiosk,New York,1,MN17
1035,MN,Free,LinkNYC - Citybridge,40.760326,-73.983693,Outdoor Kiosk,New York,1,MN17
1036,MN,Free,LinkNYC - Citybridge,40.739975,-73.982035,Outdoor Kiosk,New York,1,MN20
1037,MN,Free,LinkNYC - Citybridge,40.756945,-73.971614,Outdoor Kiosk,New York,1,MN19
1038,MN,Free,LinkNYC - Citybridge,40.748289,-73.976105,Outdoor Kiosk,New York,1,MN20
1039,MN,Free,LinkNYC - Citybridge,40.752665,-73.972843,Outdoor Kiosk,New York,1,MN19
1040,MN,Free,LinkNYC - Citybridge,40.749341,-73.975186,Outdoor Kiosk,New York,1,MN19
1041,MN,Free,LinkNYC - Citybridge,40.75096,-73.974467,Outdoor Kiosk,New York,1,MN19
1042,MN,Free,LinkNYC - Citybridge,40.748914,-73.975648,Outdoor Kiosk,New York,1,MN19
1043,MN,Free,LinkNYC - Citybridge,40.751182,-73.975188,Outdoor Kiosk,New York,1,MN19
1044,MN,Free,LinkNYC - Citybridge,40.753196,-73.972445,Outdoor Kiosk,New York,1,MN19
